game_id,date
10980,2022-09-30
10981,2022-10-01
10985,2022-10-02
10982,2022-10-02
10983,2022-10-02
10987,2022-10-03
10988,2022-10-03
10984,2022-10-02
10986,2022-10-02
10989,2022-10-04
10990,2022-10-04
10994,2022-10-04
10991,2022-10-04
10996,2022-10-05
10992,2022-10-04
10999,2022-10-05
10995,2022-10-05
10998,2022-10-05
10993,2022-10-04
11000,2022-10-06
11005,2022-10-07
11001,2022-10-06
11002,2022-10-06
11006,2022-10-07
11007,2022-10-07
11008,2022-10-07
11003,2022-10-06
10997,2022-10-05
11004,2022-10-07
11009,2022-10-07
11010,2022-10-08
11011,2022-10-08
11012,2022-10-08
11013,2022-10-08
11015,2022-10-08
11016,2022-10-09
11014,2022-10-08
11017,2022-10-09
11018,2022-10-09
11022,2022-10-10
11021,2022-10-10
11019,2022-10-10
11023,2022-10-10
11024,2022-10-10
11026,2022-10-11
11027,2022-10-11
11028,2022-10-12
11025,2022-10-11
11029,2022-10-12
11030,2022-10-12
11032,2022-10-12
11031,2022-10-12
11033,2022-10-12
11034,2022-10-12
11035,2022-10-12
11020,2022-10-10
11036,2022-10-13
11037,2022-10-13
11038,2022-10-13
11039,2022-10-13
11042,2022-10-14
11043,2022-10-14
11041,2022-10-14
11040,2022-10-14
11045,2022-10-15
11044,2022-10-14
11046,2022-10-15
11047,2022-10-15
11051,2022-10-19
11052,2022-10-19
11050,2022-10-18
11054,2022-10-19
11055,2022-10-19
11056,2022-10-19
11057,2022-10-19
11053,2022-10-19
11058,2022-10-19
11059,2022-10-20
11060,2022-10-20
11061,2022-10-20
11062,2022-10-20
11063,2022-10-20
11065,2022-10-21
11064,2022-10-20
11066,2022-10-21
11067,2022-10-21
11068,2022-10-21
11069,2022-10-21
11070,2022-10-21
11072,2022-10-21
11071,2022-10-21
11074,2022-10-22
11077,2022-10-22
11075,2022-10-22
11078,2022-10-22
11073,2022-10-22
11079,2022-10-22
11076,2022-10-22
11080,2022-10-23
11082,2022-10-23
11083,2022-10-23
11085,2022-10-23
11084,2022-10-23
11086,2022-10-23
11081,2022-10-23
11087,2022-10-23
11088,2022-10-23
11089,2022-10-23
11091,2022-10-24
11090,2022-10-24
11092,2022-10-24
11095,2022-10-24
11094,2022-10-24
11093,2022-10-24
11096,2022-10-25
11097,2022-10-25
11098,2022-10-25
11099,2022-10-25
11100,2022-10-25
11101,2022-10-25
11103,2022-10-26
11106,2022-10-26
11107,2022-10-26
11102,2022-10-25
11105,2022-10-26
11104,2022-10-26
11108,2022-10-26
11109,2022-10-26
11110,2022-10-27
11111,2022-10-27
11112,2022-10-27
11114,2022-10-27
11113,2022-10-27
11115,2022-10-27
11119,2022-10-28
11118,2022-10-28
11117,2022-10-28
11116,2022-10-28
11120,2022-10-28
11121,2022-10-28
11122,2022-10-28
11123,2022-10-28
11124,2022-10-29
11126,2022-10-29
11127,2022-10-29
11125,2022-10-29
11128,2022-10-29
11129,2022-10-29
11131,2022-10-29
11132,2022-10-29
11130,2022-10-29
11133,2022-10-30
11134,2022-10-30
11137,2022-10-30
11135,2022-10-30
11136,2022-10-30
11138,2022-10-30
11139,2022-10-30
11141,2022-10-30
11142,2022-10-30
11143,2022-10-31
11144,2022-10-31
11147,2022-10-31
11148,2022-10-31
11149,2022-11-01
11146,2022-10-31
11150,2022-11-01
11151,2022-11-01
11145,2022-10-31
11152,2022-11-01
11153,2022-11-01
11140,2022-10-30
11154,2022-11-02
11155,2022-11-02
11156,2022-11-02
11157,2022-11-02
11158,2022-11-02
11159,2022-11-02
11161,2022-11-03
11160,2022-11-03
11163,2022-11-03
11164,2022-11-03
11166,2022-11-03
11167,2022-11-03
11162,2022-11-03
11165,2022-11-03
11168,2022-11-04
11169,2022-11-04
11170,2022-11-04
11171,2022-11-04
11173,2022-11-04
11172,2022-11-04
11175,2022-11-05
11176,2022-11-05
11177,2022-11-05
11178,2022-11-05
11179,2022-11-05
11180,2022-11-05
11174,2022-11-05
11181,2022-11-05
11183,2022-11-05
11182,2022-11-05
11184,2022-11-05
11186,2022-11-06
11187,2022-11-06
11185,2022-11-06
11188,2022-11-06
11189,2022-11-06
11190,2022-11-06
11194,2022-11-08
11191,2022-11-06
11193,2022-11-08
11192,2022-11-07
11195,2022-11-08
11196,2022-11-08
11197,2022-11-08
11199,2022-11-08
