game_id,date,team_id,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
11003,10/6/22,20,109,41,95,77.3,16,25,64,11,36,30.6,14,32,46,31,23,17,11,4,29,240
11004,10/7/22,25,131,42,80,52.5,27,29,93.1,20,40,50,10,44,54,27,20,4,15,8,33,240
11004,10/7/22,90,98,37,98,93.1,13,22,59.1,11,36,30.6,15,26,41,22,19,7,8,4,-33,240
11005,10/7/22,31,99,34,76,44.7,18,26,69.2,13,31,41.9,5,37,42,29,26,7,21,3,-3,240
11005,10/7/22,26,102,36,81,69.2,21,27,77.8,9,37,24.3,8,35,43,21,27,12,17,7,3,240
11006,10/7/22,29,138,46,67,68.7,37,47,78.7,9,17,52.9,6,34,40,29,23,12,21,12,53,240
11006,10/7/22,165,85,29,81,78.7,19,31,61.3,6,25,24,12,17,29,18,34,12,22,1,-53,240
11007,10/7/22,17,99,33,97,34,22,30,73.3,11,49,22.4,15,39,54,23,22,7,18,8,-15,240
11007,10/7/22,22,114,42,95,73.3,20,26,76.9,10,32,31.3,9,50,59,29,31,11,16,6,15,240
11008,10/7/22,5,103,39,102,38.2,15,22,68.2,10,37,27,17,35,52,23,19,11,10,8,-9,240
11008,10/7/22,2,112,39,89,68.2,15,17,88.2,19,44,43.2,11,46,57,27,21,7,20,5,9,240
11009,10/7/22,24,131,44,100,44,26,27,96.3,17,42,40.5,10,33,43,25,24,9,10,5,17,240
11009,10/7/22,15,114,41,92,96.3,19,26,73.1,13,33,39.4,11,36,47,26,23,5,19,10,-17,240
11010,10/8/22,6,131,50,83,60.2,16,18,88.9,15,28,53.6,5,27,32,32,24,10,14,6,18,240
11010,10/8/22,9,113,41,88,88.9,17,21,81,14,34,41.2,12,28,40,29,20,7,19,4,-18,240
11011,10/8/22,14,116,38,87,43.7,28,37,75.7,12,31,38.7,15,37,52,22,23,11,17,1,16,240
11011,10/8/22,38,100,36,83,75.7,22,38,57.9,6,34,17.6,12,28,40,18,24,11,19,9,-16,240
11012,10/8/22,19,108,34,75,45.3,30,45,66.7,10,33,30.3,14,36,50,24,20,9,22,3,-3,240
11012,10/8/22,20,111,37,87,66.7,19,22,86.4,18,52,34.6,10,29,39,29,30,12,19,5,3,240
11013,10/8/22,23,107,38,85,44.7,23,34,67.6,8,24,33.3,10,37,47,21,24,10,16,5,6,240
11013,10/8/22,10,101,31,85,67.6,25,31,80.6,14,49,28.6,9,36,45,22,31,3,22,5,-6,240
11014,10/8/22,8,105,35,81,43.2,18,22,81.8,17,47,36.2,3,32,35,25,21,6,14,5,-5,240
11014,10/8/22,26,110,39,85,81.8,20,24,83.3,12,35,34.3,13,39,52,22,24,10,18,3,5,240
11015,10/8/22,21,109,33,74,44.6,28,35,80,15,42,35.7,9,33,42,22,26,7,22,3,-9,240
11015,10/8/22,1,118,44,88,80,15,18,83.3,15,31,48.4,6,30,36,19,26,7,12,1,9,240
11016,10/9/22,38,98,34,96,35.4,22,31,71,8,37,21.6,15,32,47,14,23,16,14,4,-17,240
11016,10/9/22,6,115,43,85,71,16,19,84.2,13,32,40.6,5,47,52,29,23,5,24,3,17,240
11017,10/9/22,25,144,51,87,58.6,21,25,84,21,44,47.7,17,40,57,42,16,7,18,2,47,240
11017,10/9/22,165,97,38,87,84,11,18,61.1,10,25,40,7,17,24,24,21,9,8,4,-47,240
11018,10/9/22,31,97,34,93,36.6,16,21,76.2,13,49,26.5,10,38,48,22,18,9,17,4,-14,240
11018,10/9/22,23,111,40,91,76.2,16,19,84.2,15,39,38.5,11,48,59,28,25,9,21,7,14,240
11019,10/10/22,11,121,42,88,47.7,24,34,70.6,13,39,33.3,11,34,45,22,22,10,19,3,-3,240
11019,10/10/22,17,124,45,90,70.6,17,18,94.4,17,39,43.6,8,30,38,24,26,6,17,5,3,240
11020,10/10/22,30,126,45,89,50.6,15,23,65.2,21,45,46.7,13,34,47,34,33,11,20,7,32,240
11020,10/10/22,29,94,29,72,65.2,26,31,83.9,10,29,34.5,6,23,29,18,20,9,22,4,-32,240
11021,10/10/22,16,117,40,86,46.5,21,22,95.5,16,43,37.2,7,38,45,27,14,9,20,7,-2,240
11021,10/10/22,22,119,47,95,95.5,12,14,85.7,13,37,35.1,6,36,42,32,18,12,16,5,2,240
11022,10/10/22,5,107,39,84,46.4,24,26,92.3,5,18,27.8,14,30,44,15,20,5,18,5,-9,240
11022,10/10/22,41,116,45,93,92.3,14,19,73.7,12,31,38.7,11,25,36,29,20,10,12,6,9,240
11023,10/10/22,7,97,34,78,43.6,24,37,64.9,5,21,23.8,13,36,49,20,15,4,18,6,-16,240
11023,10/10/22,27,113,40,91,64.9,16,18,88.9,17,40,42.5,11,34,45,23,31,12,11,6,16,240
11024,10/10/22,20,118,38,94,40.4,22,26,84.6,20,51,39.2,13,31,44,28,16,12,16,3,8,240
11024,10/10/22,14,110,41,91,84.6,12,17,70.6,16,43,37.2,14,35,49,27,25,9,25,6,-8,240
11025,10/11/22,9,107,37,82,45.1,22,36,61.1,11,33,33.3,10,30,40,21,24,9,12,3,2,240
11025,10/11/22,28,105,35,82,61.1,23,28,82.1,12,37,32.4,9,34,43,25,28,7,14,5,-2,240
11026,10/11/22,10,99,35,85,41.2,17,23,73.9,12,36,33.3,11,31,42,26,24,8,15,9,-16,240
11026,10/11/22,25,115,45,86,73.9,12,20,60,13,32,40.6,10,38,48,25,18,7,19,6,16,240
11027,10/11/22,26,109,40,84,47.6,17,18,94.4,12,35,34.3,8,42,50,30,19,8,21,5,4,240
11027,10/11/22,19,105,37,92,94.4,22,27,81.5,9,36,25,13,29,42,19,18,11,13,5,-4,240
11028,10/12/22,6,127,50,94,53.2,17,23,73.9,10,31,32.3,16,41,57,32,15,8,15,4,23,240
