Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away
2023-24-1024,Denver Nuggets,Los Angeles Lakers,228.5,4.5,-192,160,226,12,7,7
2023-24-1024,Golden State Warriors,Phoenix Suns,234.5,2.5,-148,124,212,-4,7,7
2023-24-1025,Indiana Pacers,Washington Wizards,235.5,5.0,-200,154,263,23,7,7
2023-24-1025,Charlotte Hornets,Atlanta Hawks,234.5,-5.0,164,-198,226,6,7,7
2023-24-1025,Orlando Magic,Houston Rockets,220.0,4.5,-210,160,202,30,7,7
2023-24-1025,New York Knicks,Boston Celtics,224.5,-4.5,130,-166,212,-4,7,7
2023-24-1025,Miami Heat,Detroit Pistons,218.5,9.5,-475,325,205,1,7,7
2023-24-1025,Brooklyn Nets,Cleveland Cavaliers,218.5,-1.5,-110,-120,227,-1,7,7
2023-24-1025,Toronto Raptors,Minnesota Timberwolves,220.5,0.5,-125,-105,191,3,7,7
2023-24-1025,Chicago Bulls,Oklahoma City Thunder,224.5,2.5,-140,110,228,-20,7,7
2023-24-1025,Memphis Grizzlies,New Orleans Pelicans,224.5,1.5,-120,-110,215,-7,7,7
2023-24-1025,Utah Jazz,Sacramento Kings,233.5,-2.5,100,-130,244,-16,7,7
2023-24-1025,San Antonio Spurs,Dallas Mavericks,232.5,-4.5,140,-180,245,-7,7,7
2023-24-1025,Los Angeles Clippers,Portland Trail Blazers,225.5,10.5,-580,380,234,12,7,7
2023-24-1026,Milwaukee Bucks,Philadelphia 76ers,227.5,5.5,-230,175,235,1,7,7
2023-24-1026,Los Angeles Lakers,Phoenix Suns,226.5,6.5,-250,205,195,5,2,2
2023-24-1027,Memphis Grizzlies,Denver Nuggets,221.5,-6.0,185,-225,212,-4,2,3
2023-24-1027,Charlotte Hornets,Detroit Pistons,227.0,4.5,-180,150,210,-12,2,2
2023-24-1027,Atlanta Hawks,New York Knicks,229.5,0.5,-110,-120,246,-6,2,2
2023-24-1027,Boston Celtics,Miami Heat,217.5,9.5,-375,270,230,8,2,2
2023-24-1027,Cleveland Cavaliers,Oklahoma City Thunder,250.5,2.0,-135,114,213,-3,2,2
2023-24-1027,San Antonio Spurs,Houston Rockets,224.5,3.5,-155,130,248,4,2,2
2023-24-1027,Chicago Bulls,Toronto Raptors,216.0,2.5,-135,114,207,1,2,2
2023-24-1027,Dallas Mavericks,Brooklyn Nets,228.5,6.5,-270,200,245,5,2,2
2023-24-1027,Utah Jazz,Los Angeles Clippers,228.0,-4.0,145,-175,238,2,2,2
2023-24-1027,Sacramento Kings,Golden State Warriors,237.0,3.5,-162,136,236,-8,2,3
2023-24-1027,Portland Trail Blazers,Orlando Magic,220.5,-3.5,120,-150,199,-5,2,2
2023-24-1028,New Orleans Pelicans,New York Knicks,223.5,3.5,-140,110,183,9,3,1
2023-24-1028,Detroit Pistons,Chicago Bulls,213.5,-2.5,114,-145,220,16,1,1
2023-24-1028,Washington Wizards,Memphis Grizzlies,226.5,1.5,-115,-115,219,7,3,1
2023-24-1028,Cleveland Cavaliers,Indiana Pacers,220.0,-3.5,124,-148,238,-12,1,3
2023-24-1028,Toronto Raptors,Philadelphia 76ers,214.5,-5.0,164,-198,221,-7,1,2
2023-24-1028,Minnesota Timberwolves,Miami Heat,215.0,8.0,-340,270,196,16,3,1
2023-24-1028,Phoenix Suns,Utah Jazz,223.0,5.5,-218,180,230,22,2,1
2023-24-1029,Oklahoma City Thunder,Denver Nuggets,229.5,-3.5,140,-166,223,-33,2,2
2023-24-1029,Houston Rockets,Golden State Warriors,223.5,-6.5,200,-270,201,-11,2,2
2023-24-1029,Milwaukee Bucks,Atlanta Hawks,239.0,6.0,-250,190,237,-17,3,2
2023-24-1029,Philadelphia 76ers,Portland Trail Blazers,217.0,9.5,-500,340,224,28,1,2
2023-24-1029,Sacramento Kings,Los Angeles Lakers,236.0,2.5,-130,110,259,5,2,3
2023-24-1029,Los Angeles Clippers,San Antonio Spurs,229.5,9.5,-445,310,206,40,2,2
2023-24-1030,Washington Wizards,Boston Celtics,231.5,-10.5,390,-520,233,-19,2,3
2023-24-1030,Charlotte Hornets,Brooklyn Nets,227.5,-1.0,-105,-115,254,-12,3,3
2023-24-1030,Indiana Pacers,Chicago Bulls,229.0,3.5,-162,136,217,-7,2,2
2023-24-1030,Atlanta Hawks,Minnesota Timberwolves,227.5,-2.0,114,-135,240,14,1,2
2023-24-1030,Toronto Raptors,Portland Trail Blazers,216.5,9.5,-410,320,190,-8,2,1
2023-24-1030,Memphis Grizzlies,Dallas Mavericks,222.5,1.5,-125,105,235,-15,2,3
2023-24-1030,New Orleans Pelicans,Golden State Warriors,220.5,2.5,-142,120,232,-28,2,1
2023-24-1030,Oklahoma City Thunder,Detroit Pistons,224.0,6.5,-265,215,236,12,1,2
2023-24-1030,Milwaukee Bucks,Miami Heat,225.5,7.5,-298,240,236,8,1,2
2023-24-1030,Denver Nuggets,Utah Jazz,225.5,8.5,-360,285,212,8,1,2
2023-24-1030,Los Angeles Lakers,Orlando Magic,220.0,3.5,-180,150,209,3,1,3
2023-24-1031,Cleveland Cavaliers,New York Knicks,214.0,-2.0,110,-130,200,-18,3,3
2023-24-1031,Phoenix Suns,San Antonio Spurs,225.5,7.0,-285,230,229,-1,3,2
2023-24-1031,Los Angeles Clippers,Orlando Magic,220.0,6.5,-250,205,220,16,2,1
2023-24-1101,Toronto Raptors,Milwaukee Bucks,223.5,-4.0,154,-185,241,19,2,2
2023-24-1101,Detroit Pistons,Portland Trail Blazers,216.0,3.5,-162,136,211,-9,2,2
2023-24-1101,Boston Celtics,Indiana Pacers,233.5,13.5,-800,550,259,51,2,2
2023-24-1101,Atlanta Hawks,Washington Wizards,240.0,9.5,-425,330,251,9,2,2
2023-24-1101,New York Knicks,Cleveland Cavaliers,211.0,5.5,-218,180,184,-6,1,1
2023-24-1101,Miami Heat,Brooklyn Nets,223.5,6.5,-250,190,214,-4,2,2
2023-24-1101,Oklahoma City Thunder,New Orleans Pelicans,228.5,3.5,-160,124,216,-4,2,2
2023-24-1101,Houston Rockets,Charlotte Hornets,222.0,3.0,-148,124,247,9,3,2
2023-24-1101,Minnesota Timberwolves,Denver Nuggets,219.5,-2.5,114,-135,199,21,2,2
2023-24-1101,Dallas Mavericks,Chicago Bulls,220.5,3.5,-162,136,219,9,2,2
2023-24-1101,Utah Jazz,Memphis Grizzlies,225.5,2.0,-135,114,242,24,2,2
2023-24-1101,Golden State Warriors,Sacramento Kings,227.5,7.0,-265,215,203,1,2,3
2023-24-1101,Los Angeles Lakers,Los Angeles Clippers,227.5,2.5,-145,114,255,5,2,1
2023-24-1102,Philadelphia 76ers,Toronto Raptors,214.5,7.5,-278,225,213,15,4,1
2023-24-1102,New Orleans Pelicans,Detroit Pistons,215.5,4.5,-200,154,241,9,1,1
2023-24-1102,Utah Jazz,Orlando Magic,224.5,-1.5,-105,-125,228,-2,1,2
2023-24-1102,Phoenix Suns,San Antonio Spurs,229.5,10.5,-500,340,253,-11,2,2
2023-24-1103,Indiana Pacers,Cleveland Cavaliers,230.5,-2.5,114,-135,237,5,2,2
2023-24-1103,Milwaukee Bucks,New York Knicks,224.5,5.5,-198,164,215,5,2,2
2023-24-1103,Chicago Bulls,Brooklyn Nets,221.0,4.0,-175,145,216,-2,2,2
2023-24-1103,Oklahoma City Thunder,Golden State Warriors,225.5,-6.0,200,-245,280,-2,2,2
