Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Game_IDs,game_id,date,team_id,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
2022-10-26,6,15,233.5,6.5,-270,215,233,15,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-26,22,31,234.5,9.5,-435,350,256,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-26,40,14,230.5,10.5,-540,390,210,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-26,9,17,232.5,5.5,-220,180,209,11,2,7,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-26,29,20,222.5,-1.5,100,-130,217,-21,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,4,8,225.5,-2.5,125,-145,254,-4,1,2,11115,11115.0,2022-10-27,4.0,125.0,43.0,93.0,46.2,27.0,30.0,90.0,12.0,35.0,34.3,13.0,32.0,45.0,20.0,28.0,10.0,15.0,6.0,-4.0,240.0
2022-10-27,4,8,225.5,-2.5,125,-145,254,-4,1,2,11115,11115.0,2022-10-27,8.0,129.0,41.0,81.0,90.0,27.0,35.0,77.1,20.0,40.0,50.0,7.0,30.0,37.0,25.0,23.0,8.0,18.0,4.0,4.0,240.0
2022-10-27,25,16,219.0,-7.0,215,-255,228,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,30,19,235.5,1.5,-130,100,235,-15,7,3,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,11,20,227.5,5.5,-215,185,233,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,10,1,230.0,-5.5,180,-210,248,-24,2,2,11119,11119.0,2022-10-28,10.0,112.0,37.0,86.0,43.0,31.0,38.0,81.6,7.0,32.0,21.9,14.0,28.0,42.0,18.0,22.0,2.0,11.0,4.0,-24.0,240.0
2022-10-28,10,1,230.0,-5.5,180,-210,248,-24,2,2,11119,11119.0,2022-10-28,1.0,136.0,55.0,97.0,81.6,14.0,18.0,77.8,12.0,29.0,41.4,10.0,35.0,45.0,31.0,26.0,5.0,7.0,8.0,24.0,240.0
2022-10-28,26,5,220.5,-1.5,100,-120,206,20,2,2,11120,11120.0,2022-10-28,26.0,113.0,42.0,85.0,49.4,19.0,26.0,73.1,10.0,37.0,27.0,5.0,43.0,48.0,28.0,22.0,8.0,12.0,5.0,20.0,240.0
2022-10-28,26,5,220.5,-1.5,100,-120,206,20,2,2,11120,11120.0,2022-10-28,5.0,93.0,33.0,86.0,73.1,16.0,24.0,66.7,11.0,38.0,28.9,10.0,37.0,47.0,21.0,18.0,3.0,15.0,4.0,-20.0,240.0
2022-10-28,41,15,228.5,4.5,-190,160,244,-10,3,2,11123,11123.0,2022-10-28,41.0,117.0,41.0,86.0,47.7,23.0,28.0,82.1,12.0,30.0,40.0,9.0,29.0,38.0,25.0,23.0,5.0,13.0,3.0,-10.0,240.0
2022-10-28,41,15,228.5,4.5,-190,160,244,-10,3,2,11123,11123.0,2022-10-28,15.0,127.0,41.0,81.0,82.1,30.0,33.0,90.9,15.0,29.0,51.7,5.0,36.0,41.0,30.0,19.0,4.0,14.0,7.0,10.0,240.0
2022-10-28,38,27,214.0,4.0,-175,150,202,-22,2,2,11122,11122.0,2022-10-28,38.0,90.0,33.0,86.0,38.4,15.0,24.0,62.5,9.0,39.0,23.1,15.0,30.0,45.0,20.0,15.0,9.0,17.0,5.0,-22.0,240.0
2022-10-28,38,27,214.0,4.0,-175,150,202,-22,2,2,11122,11122.0,2022-10-28,27.0,112.0,43.0,82.0,62.5,10.0,11.0,90.9,16.0,38.0,42.1,7.0,34.0,41.0,25.0,20.0,11.0,15.0,6.0,22.0,240.0
2022-10-28,2,7,218.5,6.5,-265,225,255,-9,4,2,11121,11121.0,2022-10-28,2.0,123.0,42.0,82.0,51.2,26.0,32.0,81.3,13.0,33.0,39.4,5.0,29.0,34.0,28.0,27.0,9.0,19.0,2.0,-9.0,240.0
2022-10-28,2,7,218.5,6.5,-265,225,255,-9,4,2,11121,11121.0,2022-10-28,7.0,132.0,45.0,87.0,81.3,26.0,34.0,76.5,16.0,35.0,45.7,9.0,33.0,42.0,18.0,28.0,5.0,16.0,2.0,9.0,240.0
2022-10-28,21,24,223.5,6.5,-270,215,227,11,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,22,17,232.5,7.5,-305,240,213,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,31,6,230.5,-4.0,155,-180,253,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,9,40,232.0,7.5,-295,245,218,16,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,29,14,222.5,5.5,-205,165,236,14,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,28,23,225.5,8.0,-325,270,235,13,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,30,20,228.0,-4.0,150,-175,232,6,2,2,11130,11130.0,2022-10-29,30.0,119.0,42.0,76.0,55.3,21.0,29.0,72.4,14.0,31.0,45.2,6.0,37.0,43.0,27.0,29.0,1.0,21.0,6.0,6.0,240.0
2022-10-29,30,20,228.0,-4.0,150,-175,232,6,2,2,11130,11130.0,2022-10-29,20.0,113.0,38.0,89.0,72.4,26.0,31.0,83.9,11.0,28.0,39.3,9.0,25.0,34.0,18.0,25.0,7.0,9.0,3.0,-6.0,240.0
