id,player_id,name,team_id
3441,3441,Collin Gillespie,9
3963,3963,Armaan Franklin,9
3965,3965,Jalen Pickett,9
3966,3966,Julian Strawther,9
3967,3967,Hunter Tyson,9
4070,4070,A. Toney,9
286,286,DeAndre Jordan,9
264,264,Reggie Jackson,9
243,243,Justin Holiday,9
89,89,Kentavious Caldwell-Pope,9
195,195,Aaron Gordon,9
279,279,Nikola Jokic,9
415,415,Chris Paul,11
322,322,Kevon Looney,11
593,593,Gary Payton II,11
1019,1019,Jerome Robinson,11
2827,2827,Jonathan Kuminga,11
3492,3492,Pat Spencer,11
2836,2836,Moses Moody,11
2806,2806,Usman Garuba,11
3485,3485,Gui Santos,11
3480,3480,Lester Quinones,11
3972,3972,Kendric Davis,11
3973,3973,Trayce JacksonDavis,11
3974,3974,Javan Johnson,11
3975,3975,Brandin Podziemski,11
186,186,Rudy Gay,11
124,124,Stephen Curry,11
514,514,Klay Thompson,11
287,287,Cory Joseph,11
204,204,Draymond Green,11
354,354,Rodney McGruder,11
548,548,Andrew Wiggins,11
468,468,Dario Saric,11
3810,3810,Donovan Williams,11
522,522,Myles Turner,15
236,236,Buddy Hield,27
479,479,Pascal Siakam,15
886,886,Daniel Theis,16
944,944,Bruce Brown,15
3476,3476,Andrew Nembhard,15
2628,2628,Jordan Nwora,15
2658,2658,Obi Toppin,15
2595,2595,Tyrese Haliburton,15
2626,2626,Aaron Nesmith,15
2644,2644,Jalen Smith,15
2817,2817,Isaiah Jackson,15
3466,3466,Bennedict Mathurin,15
3423,3423,Kendall Brown,15
3979,3979,Ben Sheppard,15
3980,3980,Oscar Tshiebwe,15
3981,3981,Jarace Walker,15
3982,3982,Isaiah Wong,15
274,274,James Johnson,15
351,351,Doug McDermott,15
348,348,T.J. McConnell,15
337,337,Boban Marjanovic,14
527,527,Fred VanVleet,14
749,749,Dillon Brooks,14
979,979,Aaron Holiday,14
1485,1485,Jock Landale,14
2672,2672,Nate Hinton,14
2810,2810,Jalen Green,14
2650,2650,Jae'Sean Tate,14
2847,2847,Alperen Sengun,14
3430,3430,Darius Days,14
3489,3489,Jabari Smith Jr.,14
3435,3435,Tari Eason,14
3450,3450,Trevor Hudgins,14
3931,3931,Jeenathan Williams,14
3976,3976,Matthew Mayer,14
3977,3977,Amen Thompson,14
3978,3978,Cam Whitmore,14
207,207,Jeff Green,14
869,869,Samardo Samuels,14
82,82,Reggie Bullock,14
462,462,D'Angelo Russell,17
560,560,Christian Wood,17
437,437,Taurean Prince,17
1036,1036,Jarred Vanderbilt,17
1862,1862,Rui Hachimura,17
1775,1775,Gabe Vincent,17
1889,1889,Cam Reddish,17
1864,1864,Jaxson Hayes,17
2620,2620,Skylar Mays,29
2845,2845,Austin Reaves,17
3477,3477,Scotty Pippen Jr.,19
3427,3427,Max Christie,17
3525,3525,Bryce Hamilton,17
3986,3986,Damion Baugh,17
3987,3987,Colin Castleton,17
3989,3989,D'Moi Hodge,17
3990,3990,Jalen HoodSchifino,17
3991,3991,Maxwell Lewis,17
3992,3992,Vincent ValerioBodon,17
126,126,Anthony Davis,17
265,265,LeBron James,17
434,434,Norman Powell,16
575,575,Ivica Zubac,16
2115,2115,Amir Coffey,16
1877,1877,Terance Mann,16
3396,3396,Xavier Moon,16
2839,2839,Filip Petrusev,30
2617,2617,Kenyon Martin Jr.,27
2792,2792,Brandon Boston Jr.,16
2816,2816,Bones Hyland,16
2843,2843,Joshua Primo,16
3431,3431,Moussa Diabate,16
3983,3983,Kobe Brown,16
3984,3984,Jordan Miller,16
3985,3985,Bryson Williams,16
520,520,P.J. Tucker,27
544,544,Russell Westbrook,16
40,40,Nicolas Batum,27
216,216,James Harden,16
189,189,Paul George,16
314,314,Kawhi Leonard,16
426,426,Mason Plumlee,16
118,118,Robert Covington,27
626,626,Shaquille Harrison,19
814,814,Luke Kennard,19
2201,2201,Mychal Mulder,19
982,982,Jaren Jackson Jr.,19
1040,1040,Yuta Watanabe,28
1881,1881,Ja Morant,19
1853,1853,Brandon Clarke,19
2177,2177,John Konchar,19
2568,2568,Desmond Bane,19
2857,2857,Isaiah Todd,19
2864,2864,Ziaire Williams,19
2786,2786,Santi Aldama,19
2884,2884,DeJon Jarreau,19
3341,3341,Jordan Goodwin,28
3460,3460,Jake LaRavia,19
3483,3483,David Roddy,28
3508,3508,Vince Williams Jr.,19
3463,3463,Kenneth Lofton Jr.,27
3501,3501,Jack White,25
3993,3993,Matthew Hurt,19
3994,3994,GG Jackson,19
4003,4003,Trey Jemison,23
4086,4086,M. Pereira,19
456,456,Derrick Rose,19
54,54,Bismack Biyombo,25
4,4,Steven Adams,19
403,403,Victor Oladipo,19
