Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away
11/7/22,26,14,236.5,0.5,-110,-120,261,-7,2,2
11/7/22,10,25,226.5,-4.5,160,-195,215,9,3,2
11/7/22,15,23,239.5,0.5,-110,-120,251,7,3,2
11/7/22,27,28,215.5,6.5,-315,245,188,12,3,2
11/7/22,1,21,224.5,1.5,-125,-105,215,19,2,2
11/7/22,20,29,210.5,10.5,-1300,750,217,-3,3,2
11/7/22,6,38,209.5,13.5,-5000,1400,208,14,1,1
11/7/22,19,2,225.5,-1.5,105,-135,215,-3,1,2
11/7/22,22,24,228.5,-15.5,1300,-4000,227,-13,2,2
11/7/22,31,9,243.5,-9.5,700,-1200,224,-6,2,2
11/7/22,8,4,199.5,3.5,-180,145,190,2,3,2
11/7/22,11,30,236.5,-2.5,100,-130,229,3,3,2
11/7/22,40,17,262.5,10.5,-775,520,255,23,1,1
11/7/22,16,7,231.5,-3.5,135,-165,236,2,1,1
11/9/22,26,8,212.5,-8.5,290,-380,181,7,2,2
11/9/22,15,9,235.5,-4.5,165,-205,241,-3,2,2
11/9/22,5,29,220.5,0.5,-120,-110,200,-10,2,2
11/9/22,2,10,226,13,-850,600,240,16,2,2
11/9/22,38,14,224,10,-475,380,225,7,2,2
11/9/22,1,40,232,4.5,-190,160,244,-6,2,2
11/9/22,4,24,220.5,3.5,-155,125,197,27,2,2
11/9/22,25,21,213,-1,-105,-115,268,-4,2,2
11/9/22,22,28,221.5,2.5,-130,100,246,-12,2,2
11/9/22,6,23,233,-2,110,-130,226,-4,2,2
11/9/22,31,19,234,-6,190,-225,246,-2,2,2
11/9/22,30,7,228,-4,155,-180,247,7,2,2
11/9/22,16,17,218.5,1.5,-135,105,215,13,2,2
11/10/22,41,8,209,-6,190,-225,218,8,3,1
11/10/22,1,27,222,1,-120,100,199,9,1,3
11/10/22,20,5,212.5,10.5,-570,410,229,5,3,1
11/10/22,23,29,222.5,10,-435,350,201,-11,1,1
11/11/22,26,28,215,-7.5,250,-300,211,17,2,2
11/11/22,2,9,230.5,4,-175,150,243,19,2,2
11/11/22,24,10,224.5,9,-380,290,233,9,2,2
11/11/22,25,38,219.5,-5,175,-205,245,19,2,2
11/11/22,31,21,218.5,1.5,-130,110,204,18,2,2
11/11/22,19,22,233.5,4,-175,150,217,11,2,2
11/11/22,11,7,232.5,3,-155,135,207,5,4,2
11/11/22,17,30,233,-4,145,-170,234,-6,2,2
11/12/22,16,4,212,1.5,-125,-105,205,-15,3,3
11/12/22,41,40,222.5,-3.5,140,-175,233,9,2,3
11/12/22,15,38,229.5,3,-140,120,222,14,3,1
11/12/22,10,2,225.5,-8.5,300,-365,225,-9,1,1
11/12/22,27,1,222.5,3,-140,120,230,12,2,2
11/12/22,20,5,215.5,8.5,-350,270,247,17,2,2
11/12/22,23,14,233,10.5,-500,400,225,13,2,3
11/12/22,8,29,218.5,6.5,-255,215,229,5,2,2
11/13/22,24,25,226,6,-230,185,280,-10,2,2
11/13/22,41,19,219.5,-1.5,-105,-125,194,10,1,2
11/13/22,7,22,221,1,-115,-105,253,-5,2,2
11/13/22,27,40,218,3.5,-165,140,203,7,1,1
11/13/22,6,9,231,-1.5,100,-120,229,-23,4,2
11/13/22,30,11,237,-4,150,-175,237,7,2,2
11/13/22,17,4,217,-5,175,-205,219,13,2,1
11/14/22,26,5,225,-1.5,105,-125,217,-7,3,2
11/14/22,10,38,219.5,-3.5,135,-165,226,-4,2,2
11/14/22,2,25,229,11.5,-730,530,248,4,2,1
11/14/22,20,28,216.5,2.5,-140,110,225,1,2,3
11/14/22,21,1,225.5,4,-170,145,227,-15,3,2
11/14/22,14,16,220.5,-5.5,165,-205,228,-16,2,2
11/14/22,11,31,234.5,9,-390,320,227,37,1,3
11/15/22,23,19,225.5,1.5,-125,-105,215,11,3,2
11/15/22,8,16,212,6.5,-250,210,204,2,3,1
11/15/22,40,24,231.5,4,-180,155,229,-7,2,2
11/15/22,30,4,226.5,1.5,-130,100,274,32,2,2
11/15/22,29,31,226.5,8.5,-350,270,227,7,3,1
11/16/22,26,22,225.5,-8.5,290,-380,234,-18,2,3
11/16/22,41,25,230,5,-200,170,241,-1,3,2
11/16/22,5,15,237,-1,-105,-115,238,-12,2,4
11/16/22,38,20,216,3,-150,130,216,8,2,2
